cluster,lat,lon
ridiculo adelantar comprar vacuna decir papa round sombra ,19.3998346,-99.1843501
mama reaccion aplicacion vacuna cansancio dolor cabeza pedir caldito pollo agarra home office casa mama ,19.498594,-99.2481811
vacuna ching ando ,19.3998346,-99.1843501
seguir adolorido fiebre quitar pasar esperar dosis cambiar viktor drum ,19.456367,-99.221136
dio reaccion vacuna astrazeneca sentir reaccion ,19.357102,-99.1919955
gracias cesar llevar dosis taco ojo ,19.2970107,-99.2058092
ver historia amigo pasar covid pego vacuna tiro ,18.3671046,-100.613313
poder cansancio dormir hora ,19.444937,-99.180678
decir cu avisar abstinencia vacuna informar poner anda miedo exito ,19.232228,-99.324375
tremendo alivio papas vacuna gracias dios ,19.2970107,-99.2058092
gracias gusto haber dosis ,19.2846922,-99.140238
hermana companera poner vacuna dolia cabeza morir infarto ,19.232313,-99.364536
jajaja deber sentir orgulloso pais insuficiencia vacuna ver logro este ardido voto voto ,19.3863707,-99.259495
mano janssen curiosamente ma frente poner fox ayudita ,19.444937,-99.180678
maldito vacuna ando rojo cara ,19.285882,-98.954037
dolio brazo vacuna pfizer amaneci cansado ejercicio musculo sensible querer mover ,19.357102,-99.1919955
gracias resfriado cansancio minuto temblor quedar sumamente dormido escuche sentir movimiento mama dormir andar tirante amigo actividad sismico activo comun ,19.2846922,-99.140238
admirar gente sufrir efecto astrazeneca seneca anoche arrepenti pecado codera debi houston booster pfizer super benevolente senora decada ,19.357102,-99.1919955
dirios jefe ir vacuna unido ,19.3998346,-99.1843501
efecto secundario vacuna vacuna biologia hacer ,19.232228,-99.324375
poner dosis semana calculo deber vacuna semana onda ,19.232228,-99.324375
opino carlo estrategia vacuna querer ,19.232228,-99.324375
ay molestar recabar vacuna regalar lastimar gustar jaja ,19.2156239,-99.6470277
sufrimiento pequeno dosis fuerte inmortal ,19.2970107,-99.2058092
dios pinche pete pinche vacuna ver infeliz ,19.232228,-99.324375
ah caray ver ver fila aplicar vacuna desconformes vil cara infodemia lor brazo ,19.444937,-99.180678
querer esperar vacuna ,19.232228,-99.324375
noche contacto salubridad vacuna madre suegra quedar venir mover ,19.232313,-99.364536
llegar arrastrar cansado pensar madrugar llevar decision cansancio fisico necesitar desgaste emocional extra dar paz gracias bye ,19.3059713,-99.4041647
stephen smith would say is bad ma ,19.3863707,-99.259495
normalicen llorar recibir vacuna memoria gente oportunidad llore festejaron vacuna tu vacuna vacuna obligatorio vacuna ,19.425040206309205,-99.19772386550903
noche salchiamigo marcha llevar candi juntar cirugia juntamo peso euro moderna colombiano ,19.087511,-99.315748
FELIZ DIA de LAS MADRES diste vida amor espacio cargaste vientre dolor cansancio diadelasmadres felizdiamamo mama mama madre ,19.444937,-99.180678
espere vacuna dosis esperar seguir cuidando emocionado expresar sentimiento bonito ,19.3998346,-99.1843501
amigo amiga listo registro vacuna covid ano ,19.198192,-99.0693801
cita endocrinologo clinica condeso feliz cuerpo aceptar super mes try aumentar dosis contenta habemus inyeccion magia tran is beautiful ,19.3863707,-99.259495
hola amiga mujer hermoso cuerpo diosa mujer isabel mujer hermoso voz ganar cruz azul vacuna pumas perder ck adios hermoso ,19.2846922,-99.140238
querer desayunar tia shefali reirno imitacion aquaman shefali volver abrir tia salir recibir vacuna docente economia aguantar plan fuck comi ,19.0763934,-99.7825792
animo mega nervioso sentir vacuna ,19.3998346,-99.1843501
sentir puteado vacuna inyectar pinche gobierno sentir ir inyectar agua fail mejicomajico ,19.357102,-99.1919955
cara cansancio feliz ,19.456367,-99.221136
pepillorigel vacuna alcaldia miami caro pedir amigo prestir comprobante domicilio ecatepec iztacalco ver ,19.3863707,-99.259495
vacuna astrazeneca sentir verga ,19.2156239,-99.6470277
manden vibras bonita vacuna lema bonito ,19.2218831,-99.5720087
marido salir correr escuchar megafono anunciar vacuna rabia desparasitacion vacuna ,19.087511,-99.315748
sueno cansancio estres agotamiento hartazgo gana seguir vivir ,19.3632521,-99.1796393
seguro vacuna burro acariciabo pollo canallo tatin ja ja ,19.2846922,-99.140238
jajajaja miercoles manana poner vacuna lalo festejar cafe pan dulce guardar aron ,19.3059713,-99.4041647
animo hermana temor meter fatal pintan vacuna bb ,19.2846922,-99.140238
malo despertar logro seguir lidiando condenar cansancio extremo ,19.456367,-99.221136
fila persona sentadas brazo descubrir esperar vacuna paisaje lindo ver tiempo vacuna coyoaca ,19.309899472452273,-99.17719229086067
cita salir mediodia tema hora exactamente hora aplicando vacuna manana cu ,19.232228,-99.324375
aguantar alcohol dosis ,19.0763934,-99.7825792
cargo sentir recordar deber volver sueno anhelo querer sentir vida acabar preguntar tome dosis ,19.3863707,-99.259495
vete burlar eche mama querer gobierno seguro vacuna servir lamer ,19.3998346,-99.1843501
paso aparecio virus vacuna habian muerto quedar sintoma paso afortunadamente ,19.357102,-99.1919955
imbecil hablador formado fila dosis vitacilina ,19.357102,-99.1919955
tranquilidad mama papa vacuna ,19.3863707,-99.259495
ando broma volvi retomar dosis diario prosti olvidar hare serotonino vamonos ,19.3998346,-99.1843501
rufian ruiz ruiz rulo rocco amp scuccimarra sabado amp brecha sabine Sahagun saintexupery sankaracarya santo ana saramago saramago ir schafer cheree garcia sepsis seminario historia mentalidad seminario historia moderna ,19.357102,-99.1919955
falta papa mama dosis ,19.357102,-99.1919955
danny historia vacuna ando ahorita ,19.2846922,-99.140238
mandar poner vacuna influenza manana super random vacuna ,19.357102,-99.1919955
amigo familiar vacuna eu ,19.357102,-99.1919955
hola marioneta ejercicio vacuna doler brazo calma dolor ten lindo semana ,19.232228,-99.324375
justo querer volver vacuna tocar cansino sentir protegida querer volver covid ,19.3863707,-99.259495
refuerzo tocar sputnik caer pesado dolor cabeza fatiga protegida dejar vacuna merecemos hacer humanidad entero amigo familia poder sobrevivir ,19.357102,-99.1919955
doler miedo dormir poner vacuna covid doler mover sueno ,19.087511,-99.315748
uyo hijo duro jaja asegurar pediatra dentista vacuna escuela ropa panal leche clase pintura deporte club vacaciones ,19.3863707,-99.259495
felicidad proceso vacuna maravilla tarde minuto entrar salir mundo saber amable ,19.152878,-99.1600234
vacuna papa xd poner chip pase senal woe xd ,19.4043522,-99.128294
curioso logistica desplegado cita folio companero llegar poner vacuna covid decir alcanzar mexico vacuna electoral ,18.3671046,-100.613313
ano casa venir semana vacuna ultra trail intamoment instapic ultratrail tolucalabella tocar familia ,19.289341,-99.655794
harto dosis coffeand metal vivo doble carga ,19.3998346,-99.1843501
llegar cafe doble cafe adulterado vacuna ,19.375769,-99.137171
osea enojo decir gritar culero vecino escucharon ,19.456367,-99.221136
vacuna amigo conocido familia morir esperar vacuna ,19.3998346,-99.1843501
jajaja jajaja gracias trabajar chingo horda granja trollsbot emplead borla oposicion miserable desesperadamente prianrd compinches periodismo basura vacaciones vacuna ,19.2970107,-99.2058092
disfruto red twitter imaganen gracias entero registrar vacuna gracias ,18.3671046,-100.613313
ke ke vacuna ke seguir cuidando ,19.375099,-98.940638
vengo tratar concierto astrazeneca ,19.404140625621277,-99.09989177728549
puta madre sputnik pego ensayo aguantar pie ,19.4043522,-99.128294
cansado poner dosis vacuna dolio garganta ,19.285882,-98.954037
mama feliz vacuna ,19.456367,-99.221136
creer papa volviendo casa dosis vacuna llegar fumar ,19.285882,-98.954037
leyendo analizando malestar vacuna reto ,19.3998346,-99.1843501
poder premier vacuna minuto juego ,19.232228,-99.324375
cruda desvelada cansancio ,19.498594,-99.2481811
relato vacuna alcanzar dejar pasar ,19.444937,-99.180678
programa vacuna implicaba registrar sitio web ano porquerio echar andar decir saber vacuna ir lista ocurrido plan semana ,19.087511,-99.315748
moderna vacuna compania lleno juventud idea vacuna covid comparado panza ,19.3863707,-99.259495
maestro personalmente emociona perspectiva recibir dosis cansino gobierno senal haber enterar necesidad evacuacion ,19.357102,-99.1919955
tocar vacuna papas ,19.232228,-99.324375
gracias informacion hija poner feliz tocar vacuna ,19.3668621,-99.067766
efecto secundario vacuna covid inglaterra quedar chiquito cara asustar barrio poner vacuna efecto ver madrugada bar aledano ,19.2970107,-99.2058092
demonio pensar vacuna ala persona dosis astrazeneca penca ver echar calabaza radio formula gente pinche viejito cabron sal moda ,19.2970107,-99.2058092
falta vacuna gusto cita ,19.232313,-99.364536
fuerte deseo vacuna papas viejo ,19.3863707,-99.259495
gusto yeah podras gastar pagar vacuna farmacia canal autoservicio preferencia feliz sentir ,19.3863707,-99.259495
nino volver escuela divinomuchos poder estilo vida encerradosque quedar tanto divino procesoque vacuna volver normalizar socializar ,19.357102,-99.1919955
primo querer morir venir vacuna tocar ,19.332369186343012,-99.19114635399846
jefe cobrar pension recibes vacuna pone peda pilon expropiar empresa chal ,19.087511,-99.315748
oportunidad vacuna dejar registrar ,19.51799,-99.330259
seguro quedar tu facil decir descansabas trabajaba estudiabo trabajar siguieras tranquilo ataco vacuna ,19.357102,-99.1919955
oigan llevar mama compruebe vivir vacuna ,19.412031,-99.413769
paciente querer vacuna ,19.198192,-99.0693801
vacuna madre ver six flap acerquense gusto tomamo foto firmo disco ,19.295318734383834,-99.21082870507433
amigo postvacuna covid unico efecto adverso dolor brazo cansancio ,19.3998346,-99.1843501
guerradevecinos llegar julio vecino complicado divertido preparate recibir dosis risa serie original neelix guerradevecinos pierda ,19.375769,-99.137171
hacios regresar europo jugadora ir superar hugo sanchez espana ,19.357102,-99.1919955
mierda humano quedar ir formado vacuna oposicion moralmente derrotado ,19.2846922,-99.140238
festejando bono falta registro vacuna vacuna vacuna vacuna porno sed malo ,19.2846922,-99.140238
