cluster,lat,lon
variante delta vacuna tu ,19.232228,-99.324375
infrasecturcutra pagina internet pretender crear plataforma regular red social hablar conservar cadena frio vacuna tamo jodido ,19.3059713,-99.4041647
lineamientos vacuna refuerzo considerar certificado existir incluir ,19.3863707,-99.259495
nino aislamiento pandemia pandemia vacuna vacaciones verano fase positivo fallecido ,19.3998346,-99.1843501
combate virus not vacuna tu vacuna salvar vida ,19.2970107,-99.2058092
util prueba cubrebocas vacuna adolescente decir ,19.3954345,-99.5656355
vacuna forma hablar gente pequeno conformar ,19.2156239,-99.6470277
vacuna recombinante basadas adenovirus replicacion deficiente rad candidata adecuado perfil producto objetivo oms proteccion plazo persona alto riesgo covid ,19.2970107,-99.2058092
chile complican restriccion avanzar vacuna retroceder cuarentena gt nota mexico continuar medida cubrebocas distanciasocial lavado mano ,18.3671046,-100.613313
seguir cuidar llegar ninguno vacuna servir prevenir muerte covid vacuna vacuna ,19.2846922,-99.140238
articulo ano articulo reciente referir directamente lacteo vacuna consumo humano ,19.456367,-99.221136
vacuna probada seguro aprender pandemia necesitar muerto pais asesino grande mundo seguir ser ,19.2846922,-99.140238
desabastecimiento cuadro basico vacuna nino tamiz recien nacido vacuna influenza metro vacuna ph vivir senora ,19.3998346,-99.1843501
aferrar acto humanidad deber cuidar vacuna venir ,19.3998346,-99.1843501
vacuna seguro deber dejar infodemia vacuna ,19.3998346,-99.1843501
decir conocimiento causa trato congruente incongruente salgo descalificar odio huela socialismo trabaje fobias repito problema vacuna necedad caray ,19.375769,-99.137171
exigimos agilizar proceso vacuna estudiante regreso clase presencial regreso clase homicidio ,19.375099,-98.940638
dar razon madre servir enfermamo vacuna garantia ,19.375769,-99.137171
vacuna mijito ver agusto tuiteando plaza lorito infante pandemia ,19.087511,-99.315748
fluyendo variante delta caso pfizer leo ,19.232228,-99.324375
prueba vacuna servir enferma fuerte ,19.498594,-99.2481811
sabremos efectivo vacuna riesgo vacuna ,19.232228,-99.324375
apoyar pais vacuna persona periferio pensamiento individualista entender percepcion ,19.3998346,-99.1843501
nino vacuna efecto miocarditis ,19.357102,-99.1919955
resolver antiviral afortunadamente vacuna poder desarrollar estudio act salir preprint revision par error metodologia estadistico ,19.357102,-99.1919955
dato real mil muerto covid nino cancer medicamento narcopresidente mil asesinato decrece economia millon pues cerrado perdido empleo corrupcion maximo vacuna feminicidios ,19.412031,-99.413769
ruben vacuna peligro mexico mundo infectando investigador queratina confirmar lopez obrador dosis infecto ,19.444937,-99.180678
vacuna genio dejar gente decidir morir seleccion natural basar organismo apto recurso sobreviven dejar recurso desear vivir ,19.3998346,-99.1843501
epidemia dificil vacuna desigualdad enfermedad letal ego soberbia ambicion politico desmedidas cepa dificil aceptar ,19.2970107,-99.2058092
doctor feo moreno sanchez pandemia terminar aprobar molnupiravir paxlovid mes existencia vacuna nino ano amparo mano prueba fallecido necesitar pq hacer caso ,19.0763934,-99.7825792
amsterdam comenzar vacuna viruela sismico ,19.3998346,-99.1843501
pfizer cumplir nivel mundial entrega dificil lograr compania ,19.412031,-99.413769
perdon entender vacuna ruso importante ,19.412031,-99.413769
renunciar acto criminal vacuna menor lento recomendar cubrebocas enfasis ventilacion mentir dato ,19.3863707,-99.259495
tarde podrian ayudar sacar certificado vacuna covid esque dar baja numero celular medi alto ,19.232313,-99.364536
traer mascarilla obvio vacuna dar evitar fuerte cosa jorge traer mascarilla dizque abogada ,19.3863707,-99.259495
