cluster,lat,lon
vacuna medico exigimos vacuna hospital ,19.3668621,-99.067766
pinche medico pendejo aparte revoltoso exigir vacuna riesgo matador nacion ,19.087511,-99.315748
joven estudiante derecho vacuna exigimos agilizar proceso regresar clase presencial vacuna ,19.4043522,-99.128294
ano prometer sistema salud tipo dinamarca desacato medicamento vacuna prueba tamiz tratamiento cancer traer medico cuba desplazando mexicano excusa ,19.357102,-99.1919955
gusto menor recuperar saber hospital acudir privado medico vacuna atendieron porque ver covid maestro capiche opinar ud vacunascovid ,19.087511,-99.315748
entender atacar venir medico cubano medicina aprender lograr erradicar trasmision madrehijotienen vacuna cancer pulmon medicina comunitario vacuna cordel intercambio valioso ,19.357102,-99.1919955
humildad gesto vacuna medico huele revanchismo barato ,19.3998346,-99.1843501
requisito salir dosis vacuna covid reducir prospecto medico institucion publico maestro capiche mayor ano ,19.357102,-99.1919955
pequeno aldea remoto centro africamente asia miembro vacuna pandemia terminar ,19.484399,-99.118665
lucha covid personal salud rendir continuar trabajar ayudano olvid acudir cita completar esquema vacuna cortar cadena transmision prevencion vacuna chicoloapan ,19.354814,-98.940043
mexico demostrar mundo personal medico riesgo enferma morir covid lamentablemente ocupamos mundo sector salud privado pese exigir vacuna acceso ,19.3059713,-99.4041647
minuto hospital regional tlalnepantla hospital otorgar vacuna personal senalar medico enfermera ,19.2846922,-99.140238
bienvenidos caer union europeo calificar medico cubano esclavitud moderna ,19.3998346,-99.1843501
mil fallecido numero elevado personal salud fallecido mundo taza mortalidad alto nivel mundial vacuna poblacion furioso ,18.3671046,-100.613313
terminar vacuna sector salud decir comun deber priorizar curar padecimiento ,19.3998346,-99.1843501
veracruz centralizado puesto vacuna maestro lugar obligar viajar necesitar pernoctar pie cabeza urge um cambio ir mexico ir veracruz ,19.3998346,-99.1843501
comprar pinche inepto mentiroso clinica poner dosis pasar personal basura gobierno escogieron ,19.152878,-99.1600234
secretaria cerrar recibir demanda vacuna menor personal covid ,19.087511,-99.315748
xavier ineptitud venir presidente jefa gobierno secretaria salud como venir medico estrategia vacuna latinoamericano doctor mate mediocridad salud voto util junio ,19.357102,-99.1919955
doctor hugo respeto reconocer equivocaron vacuna maestro deber concluir medico esperar dosis medico operacion chapultepec esperar ,19.444937,-99.180678
definitivamente querer escuela vacuna trabajador educacion estudiante ,19.285882,-98.954037
ojala poner enamore ie ie ie ir vacuna perrear sector salud ,19.357102,-99.1919955
firma compartir considero personal sector salud prioridad vacuna covid ,19.3863707,-99.259495
incorporar personal sector turistico vacuna proximidad periodo vacacional plantear gobernador pianista presidente crees presidente tomar peticion ,19.3998346,-99.1843501
deber dar verguenza oseo equipo minimo eh presidente dar equipo vacuna personal servicio medico distincion ,19.3668621,-99.067766
tocar preocupamo salud vacuna persona capital coordinacion nivel gobierno agradecemos asistencia personal salud gracias confianza tocar cuidar ,19.0763934,-99.7825792
acudir manana centro salud imss servicio medicina preventivo solicitar vacuna ,19.213113,-99.322812
aislamiento pandemia pandemia vacuna clase virtual fase falta vacuna vacuna personal salud positivo fallecido ,19.444937,-99.180678
miercoles abril felix salvar luchar candidatura tajo incendio parque nacional tepozteco vacuna trabajador educacion morir choque armado chihuahua bien anunciar retiro afganistan teleformula noticia mediodia ,19.232228,-99.324375
presentar libro medico escribir libro medico odontologo doctor equipo profesional plan vacuna basado recomendacion perverso dolor ,19.357102,-99.1919955
reconocer gobernador alcalde coordinacion instancia papas suegro vacuna aplaudir organizado demostrar equipo resultado positivo ,19.2156239,-99.6470277
show avisar ir vacuna dar ficha llegar edad determinado fue metodo imss centro salud ano ,19.0763934,-99.7825792
vacuna hospital privado simple revolucion indicar constitucion dictadura ,19.3863707,-99.259495
centro salud nomas volteo dosis vacuna guardia nacional poner dedo gatillo ,19.232228,-99.324375
cole insistimo cansancio cargo publico violador agresor sexual ,19.3998346,-99.1843501
vacuna siervo nacion maestro parcialmente personal linea adulto mayor medico sector privado personal labora merecer vacuna crees paciente requerir hospital ,19.3059713,-99.4041647
estupido populista idea exponer vida desconocido doctor publico privado contagian morir derecho vacuna seguro ir issue ,19.087511,-99.315748
forma manana salgan decir vacuna regres manana enfermera descongelaron vacuna terminar descongelaron irresponsable burocracia ,19.4043522,-99.128294
