cluster,lat,lon
pedir vacuna gratis regalar centro americo ,19.456367,-99.221136
creador rifo avion avion llegar campana vacuna vacuna ,19.087511,-99.315748
bastar compra voto vacuna urge ,19.232228,-99.324375
oiga reporto desastre ecatepec vacuna morena cerrar cualidad reporta importar chayote ,19.357102,-99.1919955
ocultar informacion contrato compra vacuna seguridad nacional realmente amenaza seguridad nacional descarado amistad traidor patria dictador crimen organizado ,19.375099,-98.940638
conocimiento medicina estadistico ingenieria medico pobre payaso atreverse opinar vacuna secundario trunca eh pagar diablo ganar peso ,19.357102,-99.1919955
mil millon peso utilizar tren maya proyecto prioritario mil millon peso invertir compra vacuna covid mentira prioridad ,19.357102,-99.1919955
preferiria presidente bien invite aeropuerto logistica aplicacion vacuna ,19.444937,-99.180678
ny vacuna acaparamiento golpeteo politico lamentable muerte pan naranja como levante entiendan como gobernador fascista marisco ,19.3863707,-99.259495
vacuna vender tratamiento hdsrpm absorber poblacion fuerza rendir pleitesia voto util sacar individuo mexico pagar morena dano ,19.444937,-99.180678
aceleren primero vacuna sputnik ruso diputado senador gabinete gobierno ud ,19.087511,-99.315748
disculpa despilfarro actual administracion ud servil salir disculpar senor presentar corrupto nai transparente gastando vacuna asignacion compra directa ,19.3863707,-99.259495
dejar enganar marcelo presidenciable engano salir caro obamo pregunta vacuna puro atole dedo ,19.0763934,-99.7825792
pasar vivo vacuna como quedar metro medias lloriquea hablar diario violencia genero pasar mujer seguir desapareciendo pais ,19.3863707,-99.259495
ano ir tardar gobierno vacuna poblacion aprenda agorero pacotilla ,19.444937,-99.180678
llenan boca renunciar mitad presupuesto adquirir vacuna ,19.3863707,-99.259495
preguntar gobierno ee uu nacion acaparar vacuna ,19.0763934,-99.7825792
cambio sistema salud compra medicamento ano triunfo peor fracaso gobierno version moderna nazista josef mengele afirmar ,19.087511,-99.315748
marcelo vacuna mexicano andes regalar vacuna covid honduras tierra hondureno vives ,19.2970107,-99.2058092
montaje vacuna subir montaje mierda beatriz pagar ,19.484399,-99.118665
mexicano pendejo desaparecer millon vacuna corrupto cuatro ganar aportacion retiro ,19.3998346,-99.1843501
negociolucran laboratorio pfizer disminuir numero vacuna enviaria mexico ayudar pais pobre compra vacuna rico pagar ,19.456367,-99.221136
canciller salir barato avion presidencial emergencia caber dosis viaje escalo eh ,19.2846922,-99.140238
gustar comprar pesimo agenda seguro fantastica compren agenda lector by ,19.375769,-99.137171
diasempezando entrevista radio caraca venezuela horita diferencia visita delegacion encabezado tema migracionmenor acompanado frontera sur titulo vacuna tema prioridad ,19.3863707,-99.259495
ciudadano mexico gobierno malo hacer publico contrato adquisicion vacuna covid firma peticion via ,19.232228,-99.324375
ver pasar pais robada descomunal violencia lado negar vacuna nino premiar embajada descaro presidente enoja desespera sociedad frenar ,19.3059713,-99.4041647
ver noticiero espanol agradecer vacuna medico laboratorio cientifico agradecer vacuna presidente rey claudia gracias senor presidente falto reverencia ,18.3671046,-100.613313
favor desafuero lillo taller peligro millon vida mentira vacuna corriente barato comunista exigir vacuna corriente barato comunista hipocresia grande carcel ala traidora ,19.158446,-98.967727
comprar medicina vacuna arreglar escuela lopez tirando dinero capricho matar mexicano humanista ,19.375769,-99.137171
terminar vacuna octubre dosis madre embarazado mujer capacidad repitiendo sobrar vacuna pedir donacion mercantilismo laboratorio vacuna patria ,19.3998346,-99.1843501
respuesta estupido mario delgado opinion querer sacar raja politica vacuna voto ay ,19.375769,-99.137171
falta mexico justicia mujer justicia nino adulto enfermo cancer justicia medico vacuna justicia persona pobre pobre justicia mexico ,19.0763934,-99.7825792
favor ministerio interior francia negar acceso pais vacunada esquema completo sputnik vacuna aceptado viaje totalmente laboral proyecto cooperacion descentralizad ,19.2156239,-99.6470277
aja jajajaja sepa vencer millon millon vacuna ,19.115033,-99.7351564
favor gobierno mexicano tirar dinero vacuna israelita mexicano dejar mano contact apoyar oportunista ,19.2970107,-99.2058092
mexicano veriamo anciano formar vacuna gratuito ciudadano mexicano ano hacer juan jose origen correr pais espana unido opcion ,19.2846922,-99.140238
suficiente dinero preparado comprar voto medicamento vacuna mario ,19.3668621,-99.067766
secretario tardanza vacuna llegar sobraran mitad hacer ahorro tren maya boca ,19.498594,-99.2481811
unico pais region recibir vacuna costa rico perdon region chelo rio bravo tantito guatemala belice argentino polis cielito mirar mil vacuna mil muerto hacer show ,19.087511,-99.315748
principio mintieron compra vacuna compraron donacion pais quedar ,19.444937,-99.180678
quitar costo vacuna valer impedir perdida vida ,19.2846922,-99.140238
nervio manana llegar avion millon vacuna ,19.087511,-99.315748
vacuna fracaso semana recibimos cargamento lopez gatell llegar certidumbre gobierno improvisado costar vida ,19.357102,-99.1919955
perdon ignorancia farmaceutico comercializar vacuna ,19.444937,-99.180678
fox presidente mundo entero ratero regresar robar comprar vacuna querer regresar seguir saqueando mintiendo manipular mente mexicano seguir saqueando ,19.087511,-99.315748
