id,url,date,content,likeCount,retweetCount,replyCount,coordinates,place,latitud,longitud,radio,tweet_tokenizado
1541467024722993152,https://twitter.com/DiegoReyes8a/status/1541467024722993152,2022-06-27 17:02:32+00:00,"Hasta apenas hoy nos encontramos #COVID19, tuvieron que pasar más de dos años , 4 dosis de vacuna…. Gente no bajen la guardia, no solo es una simple gripa, de paso CHINGUEN A TODA SU MADRE todos los que no usan o usen cubrebocas. 🖕🏼 https://t.co/Gu6qB1Ujus",29,2,3,"{'longitude': -99.259495, 'latitude': 19.3863707}","{'fullName': 'Miguel Hidalgo, Distrito Federal', 'name': 'Miguel Hidalgo', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.309917325231165,-99.12243737329996,31.28km,"['apenas', 'hoy', 'encontrar', 'pasar', 'dos', 'ano', 'dosis', 'vacuna', 'gente', 'bajen', 'guardia', 'solo', 'simple', 'gripa', 'paso', 'chingar', 'todo', 'madre', 'usar', 'usar', 'cubreboca']"
1498542689180078080,https://twitter.com/J2ACVDOMER/status/1498542689180078080,2022-03-01 06:16:33+00:00,"Y pensar que hace un año esa simple gripa paso a ser Coronavirus , afortunadamente fue leve y no nos llevo al reino de los cielos a pesar de no tener vacuna y no saber a lo que me enfrentaba , secuelas si... Pero vivos afortunadamente",0,0,0,"{'longitude': -99.1843501, 'latitude': 19.3998346}","{'fullName': 'Cuauhtémoc, Distrito Federal', 'name': 'Cuauhtémoc', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.309917325231165,-99.12243737329996,31.28km,"['pensar', 'hacer', 'ano', 'simple', 'gripa', 'paso', 'ser', 'coronavirus', 'afortunadamente', 'leve', 'llevar', 'reino', 'cie', 'pesar', 'tener', 'vacuna', 'saber', 'enfrentar', 'secuela', 'si', 'vivo', 'afortunadamente']"
1482579847339782147,https://twitter.com/CPALACI2/status/1482579847339782147,2022-01-16 05:05:55+00:00,"@DrPacoMoreno1 Bnoches Dr Moreno me podrá ayudar con la sig.duda;el domingo 9 me pusieron Booster la vacuna Pfizer en San Diego;en julio del 20 me puse J&amp;J,Regresé el viernes con gripa con flujo nasal.Tengo 5días que me vacuné no sé si es reacción o tengo que hacer pruebaCOVID¿?",0,1,1,"{'longitude': -99.180678, 'latitude': 19.444937}","{'fullName': 'Gustavo A. Madero, Distrito Federal', 'name': 'Gustavo A. Madero', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.309917325231165,-99.12243737329996,31.28km,"['noche', 'doctor', 'moreno', 'podra', 'ayudar', 'sig', 'duda', 'domingo', 'poner', 'booster', 'vacuno', 'pfizer', 'san', 'diego', 'julio', 'puse', 'amp', 'regresar', 'viernes', 'gripar', 'flujo', 'nasal', 'dio', 'vacune', 'el', 'si', 'reaccion', 'hacer', 'pruebacovid']"
1482373319982731268,https://twitter.com/TROLELLO/status/1482373319982731268,2022-01-15 15:25:15+00:00,"@KarinaR05471578 @GobCDMX El problema es que si tienes síntomas de Gripa, no los están atendiendo. Desde hace un año que se aplicó la primera vacuna esa línea han seguido.",1,0,0,"{'longitude': -99.180678, 'latitude': 19.444937}","{'fullName': 'Gustavo A. Madero, Distrito Federal', 'name': 'Gustavo A. Madero', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.309917325231165,-99.12243737329996,31.28km,"['problema', 'si', 'sintoma', 'gripar', 'atender', 'hacer', 'ano', 'aplico', 'primero', 'vacuna', 'line', 'seguido']"
1479300245049729028,https://twitter.com/TROLELLO/status/1479300245049729028,2022-01-07 03:53:57+00:00,@angeles63175531 @GobCDMX Lo siento mucho pero en las sedes desde la primera aplicación establecen que si tienes síntomas de gripa no te aplican la vacuna.,1,0,0,"{'longitude': -99.180678, 'latitude': 19.444937}","{'fullName': 'Gustavo A. Madero, Distrito Federal', 'name': 'Gustavo A. Madero', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.309917325231165,-99.12243737329996,31.28km,"['sentir', 'sed', 'primero', 'aplicacion', 'establecer', 'si', 'sintomas', 'gripa', 'aplicar', 'vacuna']"
1454284992016785408,https://twitter.com/gherrale/status/1454284992016785408,2021-10-30 03:12:16+00:00,"we mi hermano y yo andamos muy mal de gripa, sigo creyendo que es la vacuna 🥺",1,0,0,"{'longitude': -99.140238, 'latitude': 19.2846922}","{'fullName': 'Iztapalapa, Distrito Federal', 'name': 'Iztapalapa', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.309917325231165,-99.12243737329996,31.28km,"['we', 'hermano', 'andir', 'mal', 'gripa', 'seguir', 'creer', 'vacuno']"
1412503932392423431,https://twitter.com/ladietixlix/status/1412503932392423431,2021-07-06 20:09:15+00:00,"Si una persona tiene gripa y ya le toca la vacuna, se puede vacunar?",0,0,0,"{'longitude': -99.315748, 'latitude': 19.087511}","{'fullName': 'Tlalpan, Distrito Federal', 'name': 'Tlalpan', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.309917325231165,-99.12243737329996,31.28km,"['si', 'personar', 'gripa', 'tocar', 'vacuna', 'poder', 'vacunar']"
1408307962498650112,https://twitter.com/Iworikana/status/1408307962498650112,2021-06-25 06:15:58+00:00,Estupida gripa mi vacuna idiota 😞,0,0,1,"{'longitude': -99.413769, 'latitude': 19.412031}","{'fullName': 'Naucalpan de Juárez, México', 'name': 'Naucalpan de Juárez', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.309917325231165,-99.12243737329996,31.28km,"['estupido', 'gripar', 'vacuna', 'idiota']"
1396714253592272896,https://twitter.com/Urbainilla/status/1396714253592272896,2021-05-24 06:26:42+00:00,"Seguimiento: la verdad tuve una reacción muy leve a la vacuna; casi imperceptible. Fuera de un ligero dolor de cabeza, el insomnio de esa noche y una sensación de apunto de tener gripa, la pasé bien.",0,0,1,"{'longitude': -99.1919955, 'latitude': 19.357102}","{'fullName': 'Benito Juárez, Distrito Federal', 'name': 'Benito Juárez', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.309917325231165,-99.12243737329996,31.28km,"['seguimiento', 'verdad', 'reaccion', 'leve', 'vacuna', 'casi', 'imperceptible', 'ligero', 'dolor', 'cabeza', 'insomnio', 'noche', 'sensacion', 'apunto', 'tener', 'gripa', 'pasar', 'bien']"
1391741090122899457,https://twitter.com/EduArzate19/status/1391741090122899457,2021-05-10 13:05:07+00:00,"Dormí aprox 2 hrs debido al dolor de cuerpo y gripa que me dio debido a la vacuna. 

Ptm.",0,0,1,"{'longitude': -99.6470277, 'latitude': 19.2156239}","{'fullName': 'Metepec, México', 'name': 'Metepec', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.309917325231165,-99.12243737329996,31.28km,"['dormi', 'aproximadamente', 'hora', 'deber', 'dolor', 'cuerpo', 'gripa', 'dar', 'debido', 'vacuna', 'puta', 'madre']"
