id,url,date,content,likeCount,retweetCount,replyCount,coordinates,place,latitud,longitud,radio,tweet_tokenizado,palabra_clave
1570435561726574594,https://twitter.com/YoSoyFranky8/status/1570435561726574594,2022-09-15 15:33:09+00:00,@lamismakass La cicatriz de la vacuna en el brazo https://t.co/0NE1dJDOr6,2,0,0,"{'longitude': -99.322812, 'latitude': 19.213113}","{'fullName': 'La Magdalena Contreras, Distrito Federal', 'name': 'La Magdalena Contreras', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.309917325231165,-99.12243737329996,31.28km,"['cicatriz', 'vacuna', 'brazo']",brazo vacuna
1557734546698711043,https://twitter.com/soyjuanbarragan/status/1557734546698711043,2022-08-11 14:23:51+00:00,"Jueves, de lavar, dolor de brazo por la vacuna y principalmente la espera a que salga la canción de Elton + Britney #HoldMeCloser  🚀🌹",3,0,0,"{'longitude': -99.259495, 'latitude': 19.3863707}","{'fullName': 'Miguel Hidalgo, Distrito Federal', 'name': 'Miguel Hidalgo', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.309917325231165,-99.12243737329996,31.28km,"['jueves', 'lavar', 'dolor brazo', 'vacuna', 'esperar', 'salir', 'cancion', 'elton', 'britney', 'hold', 'closer']",brazo vacuna
1529285773173968899,https://twitter.com/IsauGarcia/status/1529285773173968899,2022-05-25 02:18:35+00:00,Yo no tengo ninguna cicatriz de vacuna en el brazo… ¿debería preocuparme? https://t.co/XQ6OC62Tam,0,0,0,"{'longitude': -99.067766, 'latitude': 19.3668621}","{'fullName': 'Nezahualcóyotl, México', 'name': 'Nezahualcóyotl', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.309917325231165,-99.12243737329996,31.28km,"['cicatriz', 'vacuna', 'brazo', 'deber', 'preocupar']",brazo vacuna
1528034958257930243,https://twitter.com/TROLELLO/status/1528034958257930243,2022-05-21 15:28:18+00:00,"@AdyxOlea @doctormacias No por que la vacuna se dejó de aplicar en 1972, por qué oficialmente ya estaba erradicada. La cicatriz que tienen el brazo es de la tuberculosis.",14,3,4,"{'longitude': -99.180678, 'latitude': 19.444937}","{'fullName': 'Gustavo A. Madero, Distrito Federal', 'name': 'Gustavo A. Madero', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.309917325231165,-99.12243737329996,31.28km,"['vacuna', 'aplicar', 'oficialmente', 'erradicado', 'cicatriz', 'brazo', 'tuberculosis']",brazo vacuna
1528034454953938945,https://twitter.com/TROLELLO/status/1528034454953938945,2022-05-21 15:26:18+00:00,"@matemoticon @doctormacias La vacuna de la viruela se dejó de aplicar en 1972, por qué ya estaba oficialmente erradicada. La marca en tu brazo es de la tuberculosis.",15,0,2,"{'longitude': -99.180678, 'latitude': 19.444937}","{'fullName': 'Gustavo A. Madero, Distrito Federal', 'name': 'Gustavo A. Madero', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.309917325231165,-99.12243737329996,31.28km,"['vacuna', 'viruela', 'aplicar', 'oficialmente', 'erradicado', 'marca', 'brazo', 'tuberculosis']",brazo vacuna
1520140133315629056,https://twitter.com/arcegama/status/1520140133315629056,2022-04-29 20:37:05+00:00,"@mario_dico50 Yo tambien me la puse ayer, no tuve ninguna reacción solo un poco de dolor en el brazo, aclaro que el dolor inicio desde la primera vacuna",9,2,0,"{'longitude': -99.1843501, 'latitude': 19.3998346}","{'fullName': 'Cuauhtémoc, Distrito Federal', 'name': 'Cuauhtémoc', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.309917325231165,-99.12243737329996,31.28km,"['puse', 'reaccion', 'dolor brazo', 'aclaro', 'dolor', 'inicio', 'vacuna']",brazo vacuna
1519669602367815681,https://twitter.com/mara_glz/status/1519669602367815681,2022-04-28 13:27:21+00:00,Buenos y adoloridos días del brazo y dolor de cabeza por la Vacuna de ayer. Peroooooooooo alguien tiene que trabajar 😉,3,0,0,"{'longitude': -99.2058092, 'latitude': 19.2970107}","{'fullName': 'Coyoacán, Distrito Federal', 'name': 'Coyoacán', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.309917325231165,-99.12243737329996,31.28km,"['adolorido', 'brazo', 'dolor cabeza', 'vacuna', 'alguien']",brazo vacuna
1516995518399975424,https://twitter.com/AndroOTF/status/1516995518399975424,2022-04-21 04:21:30+00:00,"Hoy me pusieron la vacuna vs. Hepatitis B y verga, wey, siento que se me caerá el brazo con todo y el costillar.",9,0,2,"{'longitude': -99.1843501, 'latitude': 19.3998346}","{'fullName': 'Cuauhtémoc, Distrito Federal', 'name': 'Cuauhtémoc', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.309917325231165,-99.12243737329996,31.28km,"['poner', 'vacuna', 'hepatitis', 'verga', 'wey', 'sentir', 'caer', 'brazo', 'costillar']",brazo vacuna
1514267509163282433,https://twitter.com/IvanMckenzie/status/1514267509163282433,2022-04-13 15:41:22+00:00,“En qué brazo quiere usted su vacuna?” https://t.co/X2auBLSEbx,4,0,0,"{'longitude': -99.1843501, 'latitude': 19.3998346}","{'fullName': 'Cuauhtémoc, Distrito Federal', 'name': 'Cuauhtémoc', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.309917325231165,-99.12243737329996,31.28km,"['brazo', 'vacuna']",brazo vacuna
1506296005553274892,https://twitter.com/CrismoMontalvo/status/1506296005553274892,2022-03-22 15:45:28+00:00,"@rociomag3 Yo soy hijo desobediente, yo me puse la primavera. Pero sentí que me desgracio. Yo era un deportista muy sano. No le dolía nada. Y desdé que me vacune siento dolor en mi cuerpo. Mis reflejos ya desminulleron. Me duele el brazo donde me pusieron la pinché vacuna. Y ya no creo en..",3,0,0,"{'longitude': -99.1843501, 'latitude': 19.3998346}","{'fullName': 'Cuauhtémoc, Distrito Federal', 'name': 'Cuauhtémoc', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.309917325231165,-99.12243737329996,31.28km,"['hijo', 'desobediente', 'puse', 'primavera', 'sentir', 'desgracio', 'deportista', 'sano', 'dolia', 'desde', 'vacuna', 'sentir', 'dolor cuerpo', 'reflejo', 'disminuir', 'doler', 'brazo', 'poner', 'pinche', 'vacuna']",brazo vacuna
