id,url,date,content,likeCount,retweetCount,replyCount,latitud,longitud,radio,tweet_tokenizado
1519669602367815681,https://twitter.com/mara_glz/status/1519669602367815681,2022-04-28 13:27:21+00:00,Buenos y adoloridos días del brazo y dolor de cabeza por la Vacuna de ayer. Peroooooooooo alguien tiene que trabajar 😉,3,0,0,19.309917325231165,-99.12243737329996,31.28km,"['buen', 'adolorido', 'dia', 'brazo', 'dolor', 'cabeza', 'vacuno', 'ayer', 'alguien', 'trabajar']"
1518293889232384000,https://twitter.com/AzullCielito16/status/1518293889232384000,2022-04-24 18:20:46+00:00,Con dolor de cabeza por la vacuna pero con actitud de salir 🙃😊✌️ https://t.co/kXkkRJjXdL,2,0,1,19.309917325231165,-99.12243737329996,31.28km,"['dolor', 'cabeza', 'vacuno', 'actitud', 'salir']"
1516959876047683584,https://twitter.com/naommimmatus/status/1516959876047683584,2022-04-21 01:59:52+00:00,Yo no había notado efecto secundario alguno de la vacuna que impactara en mi menstruación… hasta que en el refuerzo me tocó Sputnik y de verdad siento que quiero morir del dolor que me están causando los cólicos.🤧,13,0,0,19.309917325231165,-99.12243737329996,31.28km,"['notado', 'efecto', 'secundario', 'alguno', 'vacuno', 'impactaro', 'menstruacion', 'refuerzo', 'tocar', 'sputnik', 'verdad', 'siento', 'quiero', 'morir', 'dolor', 'causar', 'colico']"
1511897464764309510,https://twitter.com/ChrizScherf/status/1511897464764309510,2022-04-07 02:43:39+00:00,"A ver, la pregunta es:
¿Valdría la pena hacerse una prueba de antígenos por si acaso 🦠 ?
Traigo mucha congestión nasal y al parecer un buen resfriado.
Ya me dio COVID hace 4 meses, la semana pasada me puse la 3ª vacuna de refuerzo, oxígeno normal y no hay tos ni dolor de cuerpo.",0,0,5,19.309917325231165,-99.12243737329996,31.28km,"['ver', 'pregunta', 'valdrio', 'pena', 'hacer', 'prueba', 'antigeno', 'si', 'acaso', 'traer', 'mucho', 'congestion', 'nasal', 'parecer', 'buen', 'resfriado', 'dar', 'covid', 'hacer', 'mes', 'semana', 'pasado', 'puse', 'vacuna', 'refuerzo', 'oxigeno', 'normal', 'tos', 'dolor', 'cuerpo']"
1511421002357555200,https://twitter.com/MaritzaC_/status/1511421002357555200,2022-04-05 19:10:22+00:00,"Por qué todos andan llorando con la 3era vacuna👀 lit no sentí naaada, ese dia caminé mil hras, hice ejercicio y no me dió ni dolor de cabeza.",0,0,2,19.309917325231165,-99.12243737329996,31.28km,"['andar', 'llorar', 'tercero', 'vacuna', 'literal', 'senti', 'dio', 'camine', 'mil', 'haber', 'hacer', 'ejercicio', 'dar', 'dolor', 'cabeza']"
1507780042788675585,https://twitter.com/MarianoSierra8/status/1507780042788675585,2022-03-26 18:02:30+00:00,"@ElJuanjoHerrera Osea borras el gym, del dolor que te deja.
Borraste la vacuna por qué también dolió un chingo... Y así? Jeje.
Un poco de humor ☺️☺️",0,0,1,19.309917325231165,-99.12243737329996,31.28km,"['osear', 'borra', 'gym', 'dolor', 'dejar', 'borraste', 'vacuno', 'dolio', 'chingo', 'asi', 'jejar', 'humor']"
1506296005553274892,https://twitter.com/CrismoMontalvo/status/1506296005553274892,2022-03-22 15:45:28+00:00,"@rociomag3 Yo soy hijo desobediente, yo me puse la primavera. Pero sentí que me desgracio. Yo era un deportista muy sano. No le dolía nada. Y desdé que me vacune siento dolor en mi cuerpo. Mis reflejos ya desminulleron. Me duele el brazo donde me pusieron la pinché vacuna. Y ya no creo en..",3,0,0,19.309917325231165,-99.12243737329996,31.28km,"['hijo', 'desobediente', 'puse', 'primaverir', 'senti', 'desgracio', 'deportista', 'sano', 'dolia', 'desde', 'vacune', 'siento', 'dolor', 'cuerpo', 'reflejo', 'disminuir', 'duele', 'brazo', 'poner', 'pinche', 'vacuno', 'creer']"
1501650981687373840,https://twitter.com/Crisugalde21/status/1501650981687373840,2022-03-09 20:07:48+00:00,"Creí que había salido victoriosa de no a verme sentido mal con la vacuna pero me equivoqué, hasta apenas a estas horas ya no aguanto el dolor de cuerpo 🥲🥺😢",0,0,0,19.309917325231165,-99.12243737329996,31.28km,"['crei', 'salido', 'victorioso', 'vermar', 'mal', 'vacuna', 'equivoque', 'apenas', 'hora', 'aguantar', 'dolor', 'cuerpo']"
1501536964679458820,https://twitter.com/mr_mazaa/status/1501536964679458820,2022-03-09 12:34:44+00:00,"Si está muuuy dura la vacuna, dolor de brazo, fiebre y cuerpo cortado",1,0,1,19.309917325231165,-99.12243737329996,31.28km,"['si', 'durar', 'vacuna', 'dolor', 'brazo', 'fiebre', 'cuerpo', 'cortado']"
1496372655280250884,https://twitter.com/Marcy_mjcv/status/1496372655280250884,2022-02-23 06:33:36+00:00,"@KarenSixtos No he tenido reacciones s ninguna vacuna, ni ha esta, ni a la astra zeneca 😋... Espero que el dolor de cabeza se te pase pronto.",0,0,0,19.309917325231165,-99.12243737329996,31.28km,"['reaccion', 'ninguno', 'vacuna', 'astrazeneca', 'esperar', 'dolor', 'cabeza', 'pasar', 'pronto']"
